Card Name;quantity;Card Set;Card Number
Indeede V Full Art ;1;SwSH Base set;192
Charizard Promo V Full Art ;15;SWSH Promo;50
Galarian Stunfisk V Full Art ;1;Darkness Ablaze;184
Grapploct V Full Art ;4;Champions path;72
Torkoal V Full Art ;1;SwSH Base set;188
Toxtricity V Full Art ;1;Rebel Clash;182
Scizor V Full Art ;2;Darkness Ablaze;183
Rhyperior V Full Art ;1;Darkness Ablaze;181
Butterfree V Full Art ;1;Darkness Ablaze;177
Galarian Sirfetch'd V Full Art ;2;Vivid Voltage;174
Vikavolt V Full Art ;3;Darkness Ablaze;180
Drednaw V Full Art ;3;Champions path;69
Gardevoir V Full Art ;7;Champions path;70
Galarian cursola V Full Art ;6;Champions path;71
Necrozma V Full Art ;1;Battle Styles;149
Tyranitar V Full Art ;2;Battle Styles;155
Alcremie V Full Art ;4;Shining Fates;64
Kricketune V Full Art ;1;Battle Styles;142
Sigle Strike Urshifu V Full Art ;2;Battle Styles;150
Steelix V Full Art ;1;Vivid Voltage;176
Flapple V Full Art ;1;Battle Styles;143
Tornadus v;5;Chilling Reign;124
Galarian Moltres v;2;Chilling Reign;97
Zeraora v;2;Chilling Reign;53
Shadow Rider Calyrex v;3;Chilling Reign;74
Blissey v;1;Chilling Reign;119
Galarian Zapdos v;5;Chilling Reign;80
Volcanion v;3;Chilling Reign;25
Metagross v;4;Chilling Reign;112
Leafeon Japanese v;3;s6a;2
Glaceon Japanese v;1;s6a;24
Espeon Japanese v;1;s6a;35
Jolteon Japanese v;2;s6a;30
Flareon Japanese v;1;s6a;11
Vaporeon Japanese v;2;s6a;15
Sylveon Japanese v;3;s6a;40
Umbreon Japanese v;3;s6a;47
Blaziken v;2;Chilling Reign;20
Zamakentan Japanese v;1;s4a;139
Eiscue v;1;Rebel clash;55
Salamence Japanese v;1;s3a;80
Ampharos v;2;Vivid Voltage;49
Togekiss v;4;Vivid Voltage;140
Eldegoss v;6;Champions path;5
Charizard v;1;Darkness Ablaze;19
Hatterene v;10;SWSH Promo;55
Venusaur v;4;Champions path;1
Pikachu v;6;vivid voltage;43
Coalossal v;3;vivid voltage;98
Zarude v;2;vivid voltage;22
Zacian v;1;SWSH Promo;18
Zacian Japanese v;1;Sa4;137
Zamazenta Japanese v;1;Sa4;139
Grapploct v;7;Champions path;32
Orbeetle v;4;vivid voltage;20
Gardevoir v;7;Champions path;16
Crowbat Japanese v;1;sa4;108
Alcremie v;3;Champions path;22
Lucario v;5;Champions path;27
Crobat v;4;Darkness Ablaze;104
Wailord v;6;Champions path;13
Galarian sirfetch'd v;1;SWSH Promo;43
Regirock v;1;Sword and Shield Base Set;104
Cinderace v;1;SWSH Promo;15
Meowth  v;1;SWSH Promo;4
Morpeko v;3;SWSH Promo;56
Grimmsnarl v;3;SWSH Promo;57
Drednaw v;7;Champions path;14
Incineroar v;3;Champions path;8
Eevee v;1;SWSH Promo;65
Dubwool Japanese v;2;Sa4;154
Togekiss v;1;Vivid Voltage;178
Dragon Japanese v;1;Sa4;88
Lapras Japanese v;1;Sa4;31
Drapion  v;2;Vivid Voltage;106
Inteleon  v;1;Promo;SWSH016
Centiskorch v;3;Darkness Ablaze;33
Salamence v;5;Darkness Ablaze;143
Eternatus v;3;Darkness Ablaze;116
Celebi v;1;Sword and Shield Base Set;1
Boltund v;1;Rebel Clash;67
Dubwool  v;1;Rebel Clash;153
Wobbuffet v;1;Sword and Shield Base Set;86
Snorlax v;1;Sword and Shield Base Set;141
Torkoal v;2;Sword and Shield Base Set;24
Morpeko v;1;Sword and Shield Base Set;79
Stonjourner v;1;Sword and Shield Base Set;115
Galarian Stunfisk v;4;Darkness Ablaze;128
Rhyperior v;3;Darkness Ablaze;95
Butterfree v;2;Darkness Ablaze;1
Victini v;1;Sword and Shield Base Set;25
Scizor v;2;Darkness Ablaze;118
Dhelmise v;1;Sword and Shield Base Set;9
Indeedee v;1;Sword and Shield Base Set;91
Vikavolt v;1;Darkness Ablaze;60
Houndoom v;2;Darkness Ablaze;21
Grimmsnarl v;1;Darkness Ablaze;114
Dubwool v;7;Promo;SWSH049
Duraludon v;5;Champions path;47
Galarian Slowbro v;1;Darkness Ablaze;99
Sableye v;1;Sword and Shield Base Set;120
Galarian Darmanitan v;3;Vivid Voltage;36
Alakazam v;2;Promo;SWSH083
Cinderace v;4;Shining Fates;18
Cramorant v;2;Shining Fates;54
Ditto v;1;Shining Fates;50
Greedent v;1;Shining Fates;53
Crobat Japanese v;1;Darkness Ablaze;108
Drapion  v;1;Vivid Voltage;106
Tapu Koko v;5;Battle Styles;50
Mimikyu v;4;Battle Styles;62
Victini v;4;Battle Styles;21
Rapid Strike Urshifu v;2;Battle Styles;87
Tyranitar v;5;Battle Styles;97
Stoutland v;2;Battle Styles;117
Flapple v;4;Battle Styles;18
Necrozma  v;3;Battle Styles;63
Kriketune v;1;Battle Styles;6
Empoleon v;2;Battle Styles;40
Single Strike Urshifu v;3;Battle Styles;85
Indeedee Shiny Japanese v;1;Shiny Star V;316
Centiskorch Shiny v;2;Shining Fates;SV108
Cramorant Shiny v;3;Promo;SWSH086
Boltund Shiny v;3;Promo;SWSH085
Grimmsnarl Shiny v;1;Shining Fates;SV116
Eldegoss Shiny v;2;Promo;SWSH084
Falinks Shiny v;1;Shining Fates;SV115
Indeedee Shiny  v;2;Shining Fates;SV114
Dragapult Shiny v;2;Promo;SWSH096
Rilaboom Shiny v;2;Shining Fates;SV105
Crobat Shiny v;1;Shining Fates;SWSH098
lapras shiny v;1;shining fates ;SV110
Articuno Zapdos Moltres Rainbow;2;Hidden Fates;69
Decidueye GX Rainbow;1;Gaurdians Rising;146
Volcarno GX Rainbow;1;Cosmic Eclipse;252
Gardevoir GX Rainbow;1;Burning Shadows;159
Keldeo GX Rainbow;1;Unified Minds;240
Tapu Bulu GX Rainbow;1;Burning Shadows;149
Raichu GX Rainbow;1;Shining Legends;75
Gardeviour & Sylveon Rainbow;1;Unbroken Bonds;225
Articuno GX Rainbow;1;Celestial Storm;171
Heatran GX Rainbow;1;Unified Minds;238
Wishi Washi GX Japanese Rainbow;1;SM2L;56
Honchkrow GX Rainbow;1;Unbroken Bonds;223
Charizard GX Rainbow;1;Burning Shadows;150
